S_UNNR	N_LFDNR	S_VORSILBE	S_NAME	S_SPEZIFIKATION	S_KLASSE	S_KLASSIFIZIERUNGSCODE	S_VP_GRUPPE	S_KENN1	S_KENN2	S_KENN3	S_KENN4	S_SV1	S_SV2	S_SV3	S_SV4	S_SV5	S_SV6	S_SV7	S_SV8	S_SV9	SV_10	SV_11	S_BEGRENZTE_MENGEN	S_FREIGEST_MENGEN	S_VERPACKUNGSANW1	S_VERPACKUNGSANW2	S_VERPACKUNGSANW3	S_VERPACKUNGSANW4	S_VERPACKUNGSANW5	S_VERPACKUNGSANW6	S_VERPACKUNGSANW7	S_VERPACKUNGSANW8	S_VERPACKUNGSANW9	S_SV_VP1	S_SV_VP2	S_SV_VP3	S_SV_VP4	S_SV_VP5	S_ZUSAMMENPACKUNG1	S_ZUSAMMENPACKUNG2	S_UN_TANK1	S_UN_TANK2	S_UN_TANK3	S_UN_TANK4	S_SV_UNTANK1	S_SV_UNTANK2	S_SV_UNTANK3	S_SV_UNTANK4	S_TANK_CODE1	S_TANK_CODE2	S_SV_TANK1	S_SV_TANK2	S_SV_TANK3	S_SV_TANK4	S_SV_TANK5	S_SV_TANK6	S_SV_TANK7	S_SV_TANK8	S_TANKFAHRZEUG	S_BEFOERDERUNGSKATEGORIE	S_TUNNEL_CODE	S_SV_VERSANDSTUECKE1	S_SV_VERSANDSTUECKE2	S_SV_VERSANDSTUECKE3	S_SV_LOSE_SCHUETTUNG1	S_SV_LOSE_SCHUETTUNG2	S_SV_LOSE_SCHUETTUNG3	S_SV_LOSE_SCHUETTUNG4	S_SV_LOSE_SCHUETTUNG5	S_SV_HANDHABUNG1	S_SV_HANDHABUNG2	S_SV_HANDHABUNG3	S_SV_HANDHABUNG4	S_SV_HANDHABUNG5	S_BETRIEB1	S_BETRIEB2	S_BETRIEB3	S_BETRIEB4	S_GEFAHRNR	S_VORSILBE_E	S_NAME_E	S_SPEZIFIKATION_E	S_VORSILBE_FR	S_NAME_FR	S_SPEZIFIKATION_FR	S_BEMERKUNG	N_MULTIPLIKATOR	N_ERGAENZ_TECH	S_VERTRAEGL_GR	N_VERBOT	N_UNNR	N_SICHERUNG	S_MENGE_SICHERUNG_TANK	S_MENGE_SICHERUNG_LS	S_MENGE_SICHERUNG_VP	S_KENNZ_N
3319	1		NITROGLYCERIN, GEMISCH, DESENSIBILISIERT, FEST, N.A.G.	mit mehr als 2 Masse-%, aber höchstens 10 Masse-% Nitroglycerin	4.1	D	II	4.1				28	272	274									0	E0	P099	IBC99													MP2																					2	B														S14						NITROGLYCERIN MIXTURE, DESENSITIZED, SOLID, N.O.S.	with more than 2 % but not more than 10 % nitroglycerin, by mass		NITROGLYCÉRINE EN MÉLANGE, DÉSENSIBILISÉE, SOLIDE, N.S.A.	avec plus de 2 % mais au plus 10 % (masse) de nitroglycérine		3	1		1	3319	1	a)	a)	0	
3320	1		NATRIUMBORHYDRID UND NATRIUMHYDROXID, LÖSUNG	mit höchstens 12 Masse-% Natriumborhydrid und höchstens 40 Masse-% Natriumhydroxid	8	C5	II	8															1 L	E2	P001	IBC02													MP15		T7				TP2				L4BN										AT	2	E																		80		SODIUM BOROHYDRIDE AND SODIUM HYDROXIDE SOLUTION	with not more than 12 % sodium borohydride and not more than 40 % sodium hydroxide by mass		BOROHYDRURE DE SODIUM ET HYDROXYDE DE SODIUM EN SOLUTION	contenant au plus 12 % (masse) de borohydrure de sodium et au plus 40 % (masse) d'hydroxyde de sodium		3	0		1	3320	0				
3320	2		NATRIUMBORHYDRID UND NATRIUMHYDROXID, LÖSUNG	mit höchstens 12 Masse-% Natriumborhydrid und höchstens 40 Masse-% Natriumhydroxid	8	C5	III	8															5 L	E1	P001	IBC03	LP01	R001											MP19		T4				TP2				L4BN										AT	3	E	V12																	80		SODIUM BOROHYDRIDE AND SODIUM HYDROXIDE SOLUTION	with not more than 12 % sodium borohydride and not more than 40 % sodium hydroxide by mass		BOROHYDRURE DE SODIUM ET HYDROXYDE DE SODIUM EN SOLUTION	contenant au plus 12 % (masse) de borohydrure de sodium et au plus 40 % (masse) d'hydroxyde de sodium		1	0		1	3320	0				
3321	1		RADIOAKTIVE STOFFE MIT GERINGER SPEZIFISCHER AKTIVITÄT (LSA-II)	nicht spaltbar oder spaltbar, freigestellt	7			7X				172	317	325	336								0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3						T5				TP4				S2,65AN(+)	L2,65CN(+)	TU36	TT7	TM7						AT	0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, LOW SPECIFIC ACTIVITY (LSA-II)	non fissile or fissile-excepted		MATIÈRES RADIOACTIVES DE FAIBLE ACTIVITÉ SPÉCIFIQUE (LSA-II)	non fissiles ou fissiles exceptées	7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3321	2				
3322	1		RADIOAKTIVE STOFFE MIT GERINGER SPEZIFISCHER AKTIVITÄT (LSA-III)	nicht spaltbar oder spaltbar, freigestellt	7			7X				172	317	325	336								0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3						T5				TP4				S2,65AN(+)	L2,65CN(+)	TU36	TT7	TM7						AT	0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, LOW SPECIFIC ACTIVITY (LSA-III)	non fissile or fissile-excepted		MATIÈRES RADIOACTIVES DE FAIBLE ACTIVITÉ SPÉCIFIQUE (LSA-III)	non fissiles ou fissiles exceptées	7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3322	2				
3323	1		RADIOAKTIVE STOFFE, TYP C-VERSANDSTÜCK	nicht spaltbar oder spaltbar, freigestellt	7			7X				172	317	325									0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, TYPE C PACKAGE	non fissile or fissile-excepted		MATIÈRES RADIOACTIVES EN COLIS DE TYPE C	non fissiles ou fissiles exceptées	7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3323	2				
3324	1		RADIOAKTIVE STOFFE MIT GERINGER SPEZIFISCHER AKTIVITÄT (LSA-II), SPALTBAR		7			7X	7E			172	326	336									0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, LOW SPECIFIC ACTIVITY (LSA-II), FISSILE			MATIÈRES RADIOACTIVES DE FAIBLE ACTIVITÉ SPÉCIFIQUE (LSA-II), FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3324	2				
3325	1		RADIOAKTIVE STOFFE MIT GERINGER SPEZIFISCHER AKTIVITÄT (LSA-III), SPALTBAR		7			7X	7E			172	326	336									0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, LOW SPECIFIC ACTIVITY (LSA-III), FISSILE			MATIÈRES RADIOACTIVES DE FAIBLE ACTIVITÉ SPÉCIFIQUE (LSA-III), FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3325	2				
3326	1		RADIOAKTIVE STOFFE, OBERFLÄCHENKONTAMINIERTE GEGENSTÄNDE (SCO-I), SPALTBAR		7			7X	7E			172	326										0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, SURFACE CONTAMINATED OBJECTS (SCO-I), FISSILE			MATIÈRES RADIOACTIVES, OBJETS CONTAMINÉS SUPERFICIELLEMENT (SCO-I), FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3326	2				
3326	2		RADIOAKTIVE STOFFE, OBERFLÄCHENKONTAMINIERTE GEGENSTÄNDE (SCO-II), SPALTBAR		7			7X	7E			172	326										0	E0	siehe	2.2.7	und	4.1.9						siehe	4.1.9.1.3																									0	E									CV33					S6	S11	S21		70		RADIOACTIVE MATERIAL, SURFACE CONTAMINATED OBJECTS (SCO-II), FISSILE			MATIÈRES RADIOACTIVES, OBJETS CONTAMINÉS SUPERFICIELLEMENT (SCO-II), FISSILES		7X: Die Bezettelung ist abhängig von der Transportkennzahl und der Dosisleistung (siehe Tabelle 5.1.5.3.4), Unterteilung in drei Kategorien (Gefahrzettel nach Muster 7A, 7B oder 7C)		0		1	3326	2				
