S_UNNR	N_LFDNR	S_VORSILBE	S_NAME	S_SPEZIFIKATION	S_KLASSE	S_KLASSIFIZIERUNGSCODE	S_VP_GRUPPE	S_KENN1	S_KENN2	S_KENN3	S_KENN4	S_SV1	S_SV2	S_SV3	S_SV4	S_SV5	S_SV6	S_SV7	S_SV8	S_SV9	SV_10	SV_11	S_BEGRENZTE_MENGEN	S_FREIGEST_MENGEN	S_VERPACKUNGSANW1	S_VERPACKUNGSANW2	S_VERPACKUNGSANW3	S_VERPACKUNGSANW4	S_VERPACKUNGSANW5	S_VERPACKUNGSANW6	S_VERPACKUNGSANW7	S_VERPACKUNGSANW8	S_VERPACKUNGSANW9	S_SV_VP1	S_SV_VP2	S_SV_VP3	S_SV_VP4	S_SV_VP5	S_ZUSAMMENPACKUNG1	S_ZUSAMMENPACKUNG2	S_UN_TANK1	S_UN_TANK2	S_UN_TANK3	S_UN_TANK4	S_SV_UNTANK1	S_SV_UNTANK2	S_SV_UNTANK3	S_SV_UNTANK4	S_TANK_CODE1	S_TANK_CODE2	S_SV_TANK1	S_SV_TANK2	S_SV_TANK3	S_SV_TANK4	S_SV_TANK5	S_SV_TANK6	S_SV_TANK7	S_SV_TANK8	S_TANKFAHRZEUG	S_BEFOERDERUNGSKATEGORIE	S_TUNNEL_CODE	S_SV_VERSANDSTUECKE1	S_SV_VERSANDSTUECKE2	S_SV_VERSANDSTUECKE3	S_SV_LOSE_SCHUETTUNG1	S_SV_LOSE_SCHUETTUNG2	S_SV_LOSE_SCHUETTUNG3	S_SV_LOSE_SCHUETTUNG4	S_SV_LOSE_SCHUETTUNG5	S_SV_HANDHABUNG1	S_SV_HANDHABUNG2	S_SV_HANDHABUNG3	S_SV_HANDHABUNG4	S_SV_HANDHABUNG5	S_BETRIEB1	S_BETRIEB2	S_BETRIEB3	S_BETRIEB4	S_GEFAHRNR	S_VORSILBE_E	S_NAME_E	S_SPEZIFIKATION_E	S_VORSILBE_FR	S_NAME_FR	S_SPEZIFIKATION_FR	S_BEMERKUNG	N_MULTIPLIKATOR	N_ERGAENZ_TECH	S_VERTRAEGL_GR	N_VERBOT	N_UNNR	N_SICHERUNG	S_MENGE_SICHERUNG_TANK	S_MENGE_SICHERUNG_LS	S_MENGE_SICHERUNG_VP	S_KENNZ_N
0004	1		AMMONIUMPIKRAT	trocken	1	1.1D		1															0	E0	P112b	P112c								PP26					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						AMMONIUM PICRATE	dry		PICRATE D'AMMONIUM	sec		50	0	D	1	4	1	a)	a)	0	-
0004	2		AMMONIUMPIKRAT	angefeuchtet mit weniger als 10 Masse-% Wasser	1	1.1D		1															0	E0	P112a									PP26					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						AMMONIUM PICRATE	wetted with less than 10 % water, by mass		PICRATE D'AMMONIUM	humidifié avec moins de 10 % (masse) d'eau		50	0	D	1	4	1	a)	a)	0	-
0005	1		PATRONEN FÜR WAFFEN	mit Sprengladung	1	1.1F		1															0	E0	P130	LP101													MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS	with bursting charge		CARTOUCHES POUR ARMES	avec charge d'éclatement		50	0	F	1	5	1	a)	a)	0	
0006	1		PATRONEN FÜR WAFFEN	mit Sprengladung	1	1.1E		1															0	E0	P130	LP101								PP67	L1				MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS	with bursting charge		CARTOUCHES POUR ARMES	avec charge d'éclatement		50	0	E	1	6	1	a)	a)	0	
0007	1		PATRONEN FÜR WAFFEN	mit Sprengladung	1	1.2F		1															0	E0	P130	LP101													MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS	with bursting charge		CARTOUCHES POUR ARMES	avec charge d'éclatement		50	0	F	1	7	1	a)	a)	0	
0009	1		MUNITION, BRAND	mit oder ohne Zerleger, Ausstoß- oder Treibladung	1	1.2G		1															0	E0	P130	LP101								PP67	L1				MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						AMMUNITION, INCENDIARY	with or without burster, expelling charge or propelling charge		MUNITIONS INCENDIAIRES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive		50	0	G	1	9	1	a)	a)	0	
0010	1		MUNITION, BRAND	mit oder ohne Zerleger, Ausstoß- oder Treibladung	1	1.3G		1															0	E0	P130	LP101								PP67	L1				MP23																					1	C5000D	V2								CV1	CV2	CV3			S1						AMMUNITION, INCENDIARY	with or without burster, expelling charge or propelling charge		MUNITIONS INCENDIAIRES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive		50	0	G	1	10	0				
0012	1		PATRONEN FÜR WAFFEN, MIT INERTEM GESCHOSS		1	1.4S		1.4				364											5 kg	E0	P130	LP101													MP23	MP24																				4	E									CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS, INERT PROJECTILE			CARTOUCHES À PROJECTILE INERTE POUR ARMES			0	0	S	1	12	0				
0012	2		PATRONEN FÜR HANDFEUERWAFFEN		1	1.4S		1.4				364											5 kg	E0	P130	LP101													MP23	MP24																				4	E									CV1	CV2	CV3			S1						CARTRIDGES, SMALL ARMS			CARTOUCHES POUR ARMES DE PETIT CALIBRE			0	0	S	1	12	0				
0014	1		PATRONEN FÜR WAFFEN, MANÖVER		1	1.4S		1.4				364											5 kg	E0	P130	LP101													MP23	MP24																				4	E									CV1	CV2	CV3			S1						CARTRIDGES FOR WEAPONS, BLANK			CARTOUCHES À BLANC POUR ARMES			0	0	S	1	14	0				
0014	2		PATRONEN FÜR HANDFEUERWAFFEN, MANÖVER		1	1.4S		1.4				364											5 kg	E0	P130	LP101													MP23	MP24																				4	E									CV1	CV2	CV3			S1						CARTRIDGES, SMALL ARMS, BLANK			CARTOUCHES À BLANC POUR ARMES DE PETIT CALIBRE			0	0	S	1	14	0				
0014	3		PATRONEN FÜR WERKZEUGE, OHNE GESCHOSS		1	1.4S		1.4				364											5 kg	E0	P130	LP101													MP23	MP24																				4	E									CV1	CV2	CV3			S1						CARTRIDGES FOR TOOLS, BLANK			CARTOUCHES À BLANC POUR OUTILS			0	0	S	1	14	0				
0015	1		MUNITION, NEBEL	mit oder ohne Zerleger, Ausstoß- oder Treibladung	1	1.2G		1															0	E0	P130	LP101								PP67	L1				MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						AMMUNITION, SMOKE	with or without burster, expelling charge or propelling charge		MUNITIONS FUMIGÈNES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive		50	0	G	1	15	1	a)	a)	0	
0015	2		MUNITION, NEBEL	mit oder ohne Zerleger, Ausstoß- oder Treibladung, mit ätzenden Stoffen	1	1.2G		1	8														0	E0	P130	LP101								PP67	L1				MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						AMMUNITION, SMOKE	with or without burster, expelling charge or propelling charge, containing corrosive substances		MUNITIONS FUMIGÈNES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive, contenant des matières corrosives		50	0	G	1	15	1	a)	a)	0	
0015	3		MUNITION, NEBEL	mit oder ohne Zerleger, Ausstoß- oder Treibladung, mit beim Einatmen giftigen Stoffen	1	1.2G		1	6.1														0	E0	P130	LP101								PP67	L1				MP23																					1	B1000C	V2								CV1	CV2	CV3	CV28		S1						AMMUNITION, SMOKE	with or without burster, expelling charge or propelling charge, containing toxic by inhalation substances		MUNITIONS FUMIGÈNES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive, contenant des matières toxiques par inhalation		50	0	G	1	15	1	a)	a)	0	
0016	1		MUNITION, NEBEL	mit oder ohne Zerleger, Ausstoß- oder Treibladung	1	1.3G		1															0	E0	P130	LP101								PP67	L1				MP23																					1	C5000D	V2								CV1	CV2	CV3			S1						AMMUNITION, SMOKE	with or without burster, expelling charge or propelling charge		MUNITIONS FUMIGÈNES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive		50	0	G	1	16	0				
0016	2		MUNITION, NEBEL	mit oder ohne Zerleger, Ausstoß- oder Treibladung, mit ätzenden Stoffen	1	1.3G		1	8														0	E0	P130	LP101								PP67	L1				MP23																					1	C5000D	V2								CV1	CV2	CV3			S1						AMMUNITION, SMOKE	with or without burster, expelling charge or propelling charge, containing corrosive substances		MUNITIONS FUMIGÈNES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive, contenant des matières corrosives		50	0	G	1	16	0				
0016	3		MUNITION, NEBEL	mit oder ohne Zerleger, Ausstoß- oder Treibladung, mit beim Einatmen giftigen Stoffen	1	1.3G		1	6.1														0	E0	P130	LP101								PP67	L1				MP23																					1	C5000D	V2								CV1	CV2	CV3	CV28		S1						AMMUNITION, SMOKE	with or without burster, expelling charge or propelling charge, containing toxic by inhalation substances		MUNITIONS FUMIGÈNES	avec ou sans charge de dispersion, charge d'expulsion ou charge propulsive, contenant des matières toxiques par inhalation		50	0	G	1	16	0				
0018	1		MUNITION, AUGENREIZSTOFF	mit Zerleger, Ausstoß- oder Treibladung	1	1.2G		1	6.1	8													0	E0	P130	LP101								PP67	L1				MP23																					1	B1000C	V2								CV1	CV2	CV3	CV28		S1						AMMUNITION, TEAR-PRODUCING	with burster, expelling charge or propelling charge		MUNITIONS LACRYMOGÈNES	avec charge de dispersion, charge d'expulsion ou charge propulsive		50	0	G	1	18	1	a)	a)	0	
0019	1		MUNITION, AUGENREIZSTOFF	mit Zerleger, Ausstoß- oder Treibladung	1	1.3G		1	6.1	8													0	E0	P130	LP101								PP67	L1				MP23																					1	C5000D	V2								CV1	CV2	CV3	CV28		S1						AMMUNITION, TEAR-PRODUCING	with burster, expelling charge or propelling charge		MUNITIONS LACRYMOGÈNES	avec charge de dispersion, charge d'expulsion ou charge propulsive		50	0	G	1	19	0				
0020	1		MUNITION, GIFTIG	mit Zerleger, Ausstoß- oder Treibladung	1	1.2K																																																																											AMMUNITION, TOXIC	with burster, expelling charge or propelling charge		MUNITIONS TOXIQUES	avec charge de dispersion, charge d'expulsion ou charge propulsive	BEFÖRDERUNG VERBOTEN				0	20					
0021	1		MUNITION, GIFTIG	mit Zerleger, Ausstoß- oder Treibladung	1	1.3K																																																																											AMMUNITION, TOXIC	with burster, expelling charge or propelling charge		MUNITIONS TOXIQUES	avec charge de dispersion, charge d'expulsion ou charge propulsive	BEFÖRDERUNG VERBOTEN				0	21					
0027	1		SCHWARZPULVER	gekörnt oder in Mehlform	1	1.1D		1															0	E0	P113									PP50					MP20	MP24																				1	B1000C	V2	V3							CV1	CV2	CV3			S1						BLACK POWDER	granular or as a meal		POUDRE NOIRE	sous forme de grains ou de pulvérin		50	0	D	1	27	1	a)	a)	0	
0027	2				1	1.1D		1															0	E0	P113									PP50					MP20	MP24																				1	B1000C	V2	V3							CV1	CV2	CV3			S1						GUNPOWDER	granular or as a meal				Kein deutsches oder französisches Pendant zur englischen Bezeichnung vorhanden.	50	0	D	1	27	1	a)	a)	0	
0028	1		SCHWARZPULVER, GEPRESST		1	1.1D		1															0	E0	P113									PP51					MP20	MP24																				1	B1000C	V2								CV1	CV2	CV3			S1						BLACK POWDER, COMPRESSED			POUDRE NOIRE COMPRIMÉE			50	0	D	1	28	1	a)	a)	0	
0028	2		SCHWARZPULVER, als PELLETS		1	1.1D		1															0	E0	P113									PP51					MP20	MP24																				1	B1000C	V2								CV1	CV2	CV3			S1						BLACK POWDER, IN PELLETS			POUDRE NOIRE EN COMPRIMÉS			50	0	D	1	28	1	a)	a)	0	
0028	3				1	1.1D		1															0	E0	P113									PP51					MP20	MP24																				1	B1000C	V2								CV1	CV2	CV3			S1						GUNPOWDER, COMPRESSED					Kein deutsches oder französisches Pendant zur englischen Bezeichnung vorhanden.	50	0	D	1	28	1	a)	a)	0	
0028	4				1	1.1D		1															0	E0	P113									PP51					MP20	MP24																				1	B1000C	V2								CV1	CV2	CV3			S1						GUNPOWDER, IN PELLETS					Kein deutsches oder französisches Pendant zur englischen Bezeichnung vorhanden.	50	0	D	1	28	1	a)	a)	0	
0029	1		SPRENGKAPSELN, NICHT ELEKTRISCH		1	1.1B		1															0	E0	P131									PP68					MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						DETONATORS, NON-ELECTRIC	for blasting		DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES			50	0	B	1	29	1	a)	a)	0	
0030	1		SPRENGKAPSELN, ELEKTRISCH		1	1.1B		1															0	E0	P131														MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						DETONATORS, ELECTRIC	for blasting		DÉTONATEURS de mine (de sautage) ÉLECTRIQUES			50	0	B	1	30	1	a)	a)	0	
0033	1		BOMBEN	mit Sprengladung	1	1.1F		1															0	E0	P130	LP101													MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						BOMBS	with bursting charge		BOMBES	avec charge d'éclatement		50	0	F	1	33	1	a)	a)	0	
0034	1		BOMBEN	mit Sprengladung	1	1.1D		1															0	E0	P130	LP101								PP67	L1				MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						BOMBS	with bursting charge		BOMBES	avec charge d'éclatement		50	0	D	1	34	1	a)	a)	0	
0035	1		BOMBEN	mit Sprengladung	1	1.2D		1															0	E0	P130	LP101								PP67	L1				MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						BOMBS	with bursting charge		BOMBES	avec charge d'éclatement		50	0	D	1	35	1	a)	a)	0	
0037	1		BOMBEN, BLITZLICHT		1	1.1F		1															0	E0	P130	LP101													MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						BOMBS, PHOTO-FLASH			BOMBES PHOTO-ÉCLAIR			50	0	F	1	37	1	a)	a)	0	
0038	1		BOMBEN, BLITZLICHT		1	1.1D		1															0	E0	P130	LP101								PP67	L1				MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						BOMBS, PHOTO-FLASH			BOMBES PHOTO-ÉCLAIR			50	0	D	1	38	1	a)	a)	0	
0039	1		BOMBEN, BLITZLICHT		1	1.2G		1															0	E0	P130	LP101								PP67	L1				MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						BOMBS, PHOTO-FLASH			BOMBES PHOTO-ÉCLAIR			50	0	G	1	39	1	a)	a)	0	
0042	1		ZÜNDVERSTÄRKER	ohne Detonator	1	1.1D		1															0	E0	P132a	P132b													MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						BOOSTERS	without detonator		RENFORÇATEURS	sans détonateur		50	0	D	1	42	1	a)	a)	0	
0043	1		ZERLEGER	mit Explosivstoff	1	1.1D		1															0	E0	P133									PP69					MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						BURSTERS	explosive		CHARGES DE DISPERSION			50	0	D	1	43	1	a)	a)	0	
0044	1		ANZÜNDHÜTCHEN		1	1.4S		1.4															0	E0	P133														MP23	MP24																				4	E									CV1	CV2	CV3			S1						PRIMERS, CAP TYPE			AMORCES À PERCUSSION			0	0	S	1	44	0				
0048	1		SPRENGKÖRPER		1	1.1D		1															0	E0	P130	LP101								PP67	L1				MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						CHARGES, DEMOLITION			CHARGES DE DÉMOLITION			50	0	D	1	48	1	a)	a)	0	
0049	1		PATRONEN, BLITZLICHT		1	1.1G		1															0	E0	P135														MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						CARTRIDGES, FLASH			CARTOUCHES-ÉCLAIR			50	0	G	1	49	1	a)	a)	0	
0050	1		PATRONEN, BLITZLICHT		1	1.3G		1															0	E0	P135														MP23																					1	C5000D	V2								CV1	CV2	CV3			S1						CARTRIDGES, FLASH			CARTOUCHES-ÉCLAIR			50	0	G	1	50	0				
0054	1		PATRONEN, SIGNAL		1	1.3G		1															0	E0	P135														MP23	MP24																				1	C5000D	V2								CV1	CV2	CV3			S1						CARTRIDGES, SIGNAL			CARTOUCHES DE SIGNALISATION			50	0	G	1	54	0				
0055	1		TREIBLADUNGSHÜLSEN, LEER, MIT TREIBLADUNGSANZÜNDER		1	1.4S		1.4				364											5 kg	E0	P136														MP23																					4	E									CV1	CV2	CV3			S1						CASES, CARTRIDGE, EMPTY, WITH PRIMER			DOUILLES DE CARTOUCHES VIDES AMORCÉES			0	0	S	1	55	0				
0056	1		WASSERBOMBEN		1	1.1D		1															0	E0	P130	LP101								PP67	L1				MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						CHARGES, DEPTH			CHARGES SOUS-MARINES			50	0	D	1	56	1	a)	a)	0	
0059	1		HOHLLADUNGEN	ohne Zündmittel	1	1.1D		1															0	E0	P137									PP70					MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						CHARGES, SHAPED	without detonator		CHARGES CREUSES	sans détonateur		50	0	D	1	59	1	a)	a)	0	
0060	1		FÜLLSPRENGKÖRPER		1	1.1D		1															0	E0	P132a	P132b													MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						CHARGES, SUPPLEMENTARY, EXPLOSIVE			CHARGES DE RELAIS EXPLOSIFS			50	0	D	1	60	1	a)	a)	0	
0065	1		SPRENGSCHNUR	biegsam	1	1.1D		1															0	E0	P139									PP71	PP72				MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						CORD, DETONATING	flexible		CORDEAU DÉTONANT	souple		50	0	D	1	65	1	a)	a)	0	
0066	1		ANZÜNDLITZE		1	1.4G		1.4															0	E0	P140														MP23																					2	E	V2								CV1	CV2	CV3			S1						CORD, IGNITER			MÈCHE À COMBUSTION RAPIDE			3	0	G	1	66	0				
0070	1		SCHNEIDVORRICHTUNGEN, KABEL, MIT EXPLOSIVSTOFF		1	1.4S		1.4															0	E0	P134	LP102													MP23																					4	E									CV1	CV2	CV3			S1						CUTTERS, CABLE, EXPLOSIVE			CISAILLES PYROTECHNIQUES EXPLOSIVES			0	0	S	1	70	0				
0072	1		CYCLOTRIMETHYLENTRINITRAMIN, ANGEFEUCHTET	mit mindestens 15 Masse-% Wasser	1	1.1D		1				266											0	E0	P112a									PP45					MP20																					1	B1000C	V2								CV1	CV2	CV3			S1						CYCLOTRIMETHYLENETRINITRAMINE, WETTED	with not less than 15 % water, by mass		CYCLOTRIMÉTHYLÈNETRINITRAMINE HUMIDIFIÉE	avec au moins 15 % (masse) d'eau		50	0	D	1	72	1	a)	a)	0	
0072	2		CYCLONIT, ANGEFEUCHTET	mit mindestens 15 Masse-% Wasser	1	1.1D		1				266											0	E0	P112a									PP45					MP20																					1	B1000C	V2								CV1	CV2	CV3			S1						CYCLONITE, WETTED	with not less than 15 % water, by mass		CYCLONITE HUMIDIFIÉE	avec au moins 15 % (masse) d'eau		50	0	D	1	72	1	a)	a)	0	
0072	3		HEXOGEN, ANGEFEUCHTET	mit mindestens 15 Masse-% Wasser	1	1.1D		1				266											0	E0	P112a									PP45					MP20																					1	B1000C	V2								CV1	CV2	CV3			S1						HEXOGEN, WETTED	with not less than 15 % water, by mass		HEXOGÈNE HUMIDIFIÉE	avec au moins 15 % (masse) d'eau		50	0	D	1	72	1	a)	a)	0	
0072	4		RDX, ANGEFEUCHTET	mit mindestens 15 Masse-% Wasser	1	1.1D		1				266											0	E0	P112a									PP45					MP20																					1	B1000C	V2								CV1	CV2	CV3			S1						RDX, WETTED	with not less than 15 % water, by mass		RDX HUMIDIFIÉE	avec au moins 15 % (masse) d'eau		50	0	D	1	72	1	a)	a)	0	
0073	1		DETONATOREN FÜR MUNITION		1	1.1B		1															0	E0	P133														MP23																					1	B1000C	V2								CV1	CV2	CV3			S1						DETONATORS FOR AMMUNITION			DÉTONATEURS POUR MUNITIONS			50	0	B	1	73	1	a)	a)	0	
0074	1		DIAZODINITROPHENOL, ANGEFEUCHTET	mit mindestens 40 Masse-% Wasser oder einer Alkohol/Wasser-Mischung	1	1.1A		1				266											0	E0	P110b									PP42					MP20																					0	B	V2								CV1	CV2	CV3			S1						DIAZODINITROPHENOL, WETTED	with not less than 40 % water, or mixture of alcohol and water, by mass		DIAZODINITROPHÉNOL HUMIDIFIÉ	avec au moins 40 % (masse) d'eau ou d'un mélange d'alcool et d'eau			0	A	1	74	1	a)	a)	0	
0075	1		DIETHYLENGLYCOLDINITRAT, DESENSIBILISIERT	mit mindestens 25 Masse-% nicht flüchtigem, wasserunlöslichem Phlegmatisierungsmittel	1	1.1D		1				266											0	E0	P115									PP53	PP54	PP57	PP58		MP20																					1	B1000C	V2								CV1	CV2	CV3			S1						DIETHYLENEGLYCOL DINITRATE, DESENSITIZED	with not less than 25 % non-volatile, water-insoluble phlegmatizer, by mass		DINITRATE DE DIÉTHYLÈNEGLYCOL DÉSENSIBILISÉ	avec au moins 25 % (masse) de flegmatisant non volatil insoluble dans l'eau		50	0	D	1	75	1	a)	a)	0	-
0076	1		DINITROPHENOL	trocken	1	1.1D		1	6.1														0	E0	P112b	P112c								PP26					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3	CV28		S1						DINITROPHENOL	dry		DINITROPHÉNOL	sec		50	0	D	1	76	1	a)	a)	0	+
0076	2		DINITROPHENOL	angefeuchtet mit weniger als 15 Masse-% Wasser	1	1.1D		1	6.1														0	E0	P112a									PP26					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3	CV28		S1						DINITROPHENOL	wetted with less than 15 % water, by mass		DINITROPHÉNOL	humidifié avec moins de 15 % (masse) d'eau		50	0	D	1	76	1	a)	a)	0	+
0077	1		DINITROPHENOLATE	der Alkalimetalle, trocken	1	1.3C		1	6.1														0	E0	P114b									PP26					MP20																					1	C5000D	V2	V3							CV1	CV2	CV3	CV28		S1						DINITROPHENOLATES	alkali metals, dry		DINITROPHÉNATES	de métaux alcalins, secs		50	0	C	1	77	1	a)	a)	0	+
0077	2		DINITROPHENOLATE	der Alkalimetalle, angefeuchtet mit weniger als 15 Masse-% Wasser	1	1.3C		1	6.1														0	E0	P114a									PP26					MP20																					1	C5000D	V2	V3							CV1	CV2	CV3	CV28		S1						DINITROPHENOLATES	alkali metals, wetted with less than 15 % water, by mass		DINITROPHÉNATES	de métaux alcalins, humidifiés avec moins de 15 % (masse) d'eau		50	0	C	1	77	1	a)	a)	0	+
0078	1		DINITRORESORCINOL	trocken	1	1.1D		1															0	E0	P112b	P112c								PP26					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						DINITRORESORCINOL	dry		DINITRORÉSORCINOL	sec		50	0	D	1	78	1	a)	a)	0	
0078	2		DINITRORESORCINOL	angefeuchtet mit weniger als 15 Masse-% Wasser	1	1.1D		1															0	E0	P112a									PP26					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						DINITRORESORCINOL	wetted with less than 15 % water, by mass		DINITRORÉSORCINOL	humidifié avec moins de 15 % (masse) d'eau		50	0	D	1	78	1	a)	a)	0	
0079	1		HEXANITRODIPHENYLAMIN		1	1.1D		1															0	E0	P112b	P112c													MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						HEXANITRODIPHENYLAMINE			HEXANITRODIPHÉNYLAMINE			50	0	D	1	79	1	a)	a)	0	+
0079	2		DIPIKRYLAMIN		1	1.1D		1															0	E0	P112b	P112c													MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						DIPICRYLAMINE			DIPICRYLAMINE			50	0	D	1	79	1	a)	a)	0	+
0079	3		HEXYL		1	1.1D		1															0	E0	P112b	P112c													MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						HEXYL			HEXYL			50	0	D	1	79	1	a)	a)	0	+
0081	1		SPRENGSTOFF, TYP A		1	1.1D		1				616	617										0	E0	P116									PP63	PP66				MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						EXPLOSIVE, BLASTING, TYPE A			EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE A			20	1	D	1	81	1	a)	a)	0	
0082	1		SPRENGSTOFF, TYP B		1	1.1D		1				617											0	E0	P116	IBC100								PP61	PP62	B9			MP20																					1	B1000C	V2	V3	V12						CV1	CV2	CV3			S1						EXPLOSIVE, BLASTING, TYPE B			EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE B			20	1	D	1	82	1	a)	a)	0	
0083	1		SPRENGSTOFF, TYP C		1	1.1D		1				267	617										0	E0	P116														MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						EXPLOSIVE, BLASTING, TYPE C			EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE C			50	1	D	1	83	1	a)	a)	0	
0084	1		SPRENGSTOFF, TYP D		1	1.1D		1				617											0	E0	P116														MP20																					1	B1000C	V2								CV1	CV2	CV3			S1						EXPLOSIVE, BLASTING, TYPE D			EXPLOSIF DE MINE (DE SAUTAGE) DU TYPE D			20	1	D	1	84	1	a)	a)	0	
0092	1		LEUCHTKÖRPER, BODEN		1	1.3G		1															0	E0	P135														MP23																					1	C5000D	V2								CV1	CV2	CV3			S1						FLARES, SURFACE			DISPOSITIFS ÉCLAIRANTS DE SURFACE			50	0	G	1	92	0				
0093	1		LEUCHTKÖRPER, LUFTFAHRZEUG		1	1.3G		1															0	E0	P135														MP23																					1	C5000D	V2								CV1	CV2	CV3			S1						FLARES, AERIAL			DISPOSITIFS ÉCLAIRANTS AÉRIENS			50	0	G	1	93	0				
0094	1		BLITZLICHTPULVER		1	1.1G		1															0	E0	P113									PP49					MP20																					1	B1000C	V2	V3							CV1	CV2	CV3			S1						FLASH POWDER			POUDRE ÉCLAIR			50	0	G	1	94	1	a)	a)	0	
0099	1		LOCKERUNGSSPRENGGERÄTE MIT EXPLOSIVSTOFF	für Erdölbohrungen, ohne Zündmittel	1	1.1D		1															0	E0	P134	LP102													MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						FRACTURING DEVICES, EXPLOSIVE	without detonator, for oil wells		TORPILLES DE FORAGE EXPLOSIVES	sans détonateur pour puits de pétrole		50	0	D	1	99	1	a)	a)	0	
0101	1		STOPPINEN, NICHT SPRENGKRÄFTIG		1	1.3G		1															0	E0	P140									PP74	PP75				MP23																					1	C5000D	V2								CV1	CV2	CV3			S1						FUSE, NON-DETONATING			MÈCHE NON DÉTONANTE			50	0	G	1	101	0				
0102	1		SPRENGSCHNUR	mit Metallmantel	1	1.2D		1															0	E0	P139									PP71					MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						CORD, DETONATING	metal clad		CORDEAU DÉTONANT	à enveloppe métallique		50	0	D	1	102	1	a)	a)	0	
0102	2				1	1.2D		1															0	E0	P139									PP71					MP21																					1	B1000C	V2								CV1	CV2	CV3			S1						FUSE, DETONATING	metal clad				Kein deutsches oder französisches Pendant zur englischen Bezeichnung vorhanden.	50	0	D	1	102	1	a)	a)	0	
0103	1		ANZÜNDSCHNUR	rohrförmig, mit Metallmantel	1	1.4G		1.4															0	E0	P140														MP23																					2	E	V2								CV1	CV2	CV3			S1						FUSE, IGNITER	tubular, metal clad		CORDEAU D'ALLUMAGE	à enveloppe métallique		3	0	G	1	103	0				
0104	1		SPRENGSCHNUR MIT GERINGER WIRKUNG	mit Metallmantel	1	1.4D		1.4															0	E0	P139									PP71					MP21																					2	E	V2								CV1	CV2	CV3			S1						CORD, DETONATING, MILD EFFECT	metal clad		CORDEAU DÉTONANT À CHARGE RÉDUITE	à enveloppe métallique		3	0	D	1	104	1	a)	a)	0	
0104	2				1	1.4D		1.4															0	E0	P139									PP71					MP21																					2	E	V2								CV1	CV2	CV3			S1						FUSE, DETONATING, MILD EFFECT	metal clad				Kein deutsches oder französisches Pendant zur englischen Bezeichnung vorhanden.	3	0	D	1	104	1	a)	a)	0	
0105	1		ANZÜNDSCHNUR		1	1.4S		1.4															0	E0	P140									PP73					MP23																					4	E									CV1	CV2	CV3			S1						FUSE, SAFETY			MÈCHE DE MINEUR (MÈCHE LENTE)			0	0	S	1	105	0				
